age,hh_size,income,moop
33.0,1,31654.75200881386,720.37
38.0,1,56668.32942057149,582.53
75.0,5,66708.07153977503,1364.92
30.0,4,178874.80341027805,2932.97
62.0,5,95612.08032710645,2813.16
64.0,4,108941.96648129079,2340.75
43.0,2,63630.52494921973,1336.39
37.0,2,179316.2086293148,2356.94
50.0,1,34303.59430172667,628.08
75.0,4,126752.44401966823,5700.59
28.0,1,38240.22541945276,906.54
65.0,3,134844.20538641268,5052.52
54.0,1,40061.99654945567,1832.42
62.0,2,146555.21836844354,1664.45
48.0,1,28133.992317905966,2477.38
57.0,2,112196.3217748699,1432.94
57.0,1,105852.08801464837,1933.14
45.0,2,84518.76451975928,1043.31
28.0,3,163450.33163063222,1314.93
78.0,2,102153.55792651897,4893.36
47.0,1,149251.80675934785,1914.94
23.0,2,144237.10157074418,1569.6
77.0,1,41463.61946745811,2370.29
66.0,5,90282.5914664153,4319.59
62.0,4,179638.2746221383,3529.93
51.0,2,120450.48237612302,2137.24
60.0,5,103227.5829332867,3471.68
43.0,3,199026.11999502694,1108.46
62.0,1,97064.28747700767,1401.24
64.0,1,27737.08124341923,4538.41
74.0,1,44166.43122809744,1313.38
79.0,3,64809.814869984446,2940.88
83.0,1,196922.04880600338,2569.38
72.0,1,243777.09239014378,3381.35
32.0,4,41951.66728698671,1813.63
52.0,1,90498.48965516011,858.68
81.0,2,47789.93286671205,2374.97
35.0,1,50770.45063929886,1060.44
34.0,2,136961.17662551694,1059.83
73.0,3,132386.8781606172,2503.38
39.0,3,109065.05024261054,1742.75
80.0,2,183657.26410290136,7845.5
61.0,3,89076.13558939101,3730.52
71.0,3,54421.30857733039,1362.48
28.0,4,90590.70635941882,2453.43
40.0,3,117310.76645403719,5090.19
50.0,1,171751.10003951297,1752.17
68.0,2,35744.95848680262,3701.88
83.0,5,99345.69829524864,3448.69
37.0,1,147177.16868656504,1363.11
52.0,2,59540.62727241269,745.94
79.0,2,151231.00454608336,6803.93
86.0,4,102223.37760116693,7144.47
24.0,4,39765.42633737724,1707.38
70.0,3,59020.28312467843,1159.41
45.0,1,136204.6504769817,1805.52
54.0,1,82789.57290369888,1928.78
43.0,5,58225.26582892747,2296.43
79.0,3,129782.83760032567,8460.09
50.0,2,58051.71716108854,1141.83
88.0,1,30600.14993779217,1080.62
86.0,4,121607.73910661048,6064.27
87.0,1,24049.795088058545,6122.94
26.0,5,97970.18722244896,2376.46
74.0,1,92665.42933208129,2124.77
